,Client,Project,Description,Start date,Start time,End date,End time,Duration,Tags,Type,Domain
59,F2023,GenAI & Art,Understanding Comics,2023-09-07,10:35:49,2023-09-07,11:09:30,0 days 00:33:41,"Domain: School, Type: Reading",Reading,School
60,F2023,GenAI & Art,Understanding Comics,2023-09-07,11:14:32,2023-09-07,11:34:37,0 days 00:20:05,"Domain: School, Type: Reading",Reading,School
61,F2023,SWE,C06A: Stove,2023-09-08,09:32:37,2023-09-08,09:55:39,0 days 00:23:02,"Domain: School, Type: Coding",Coding,School
63,F2023,GenAI & Art,Understanding Comics,2023-09-08,14:51:40,2023-09-08,15:12:42,0 days 00:21:02,"Domain: School, Type: Reading",Reading,School
64,F2023,Algorithms,HW2,2023-09-08,15:13:54,2023-09-08,15:21:23,0 days 00:07:29,"Domain: School, Type: Practice",Practice,School
66,F2023,Algorithms,Maze Project - Code,2023-09-08,17:11:44,2023-09-08,17:26:19,0 days 00:14:35,"Domain: School, Type: Coding",Coding,School
67,F2023,Algorithms,Maze Project - Code,2023-09-08,20:07:28,2023-09-08,20:19:18,0 days 00:11:50,"Domain: School, Type: Coding",Coding,School
68,F2023,Algorithms,Maze Project - Code,2023-09-09,09:33:14,2023-09-09,11:02:28,0 days 01:29:14,"Domain: School, Type: Coding",Coding,School
69,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-10,19:35:04,2023-09-10,20:27:50,0 days 00:52:46,"Domain: School, Type: Writing",Writing,School
70,F2023,Algorithms,Maze Project - Code,2023-09-10,20:28:24,2023-09-10,21:05:57,0 days 00:37:33,"Domain: School, Type: Coding",Coding,School
71,F2023,SWE,C06A: Stove,2023-09-11,08:35:32,2023-09-11,08:44:57,0 days 00:09:25,"Domain: School, Type: Coding",Coding,School
72,F2023,Algorithms,Maze Project - Code,2023-09-11,08:48:45,2023-09-11,10:15:12,0 days 01:26:27,"Domain: School, Type: Coding",Coding,School
73,F2023,Algorithms,Maze Project - Code,2023-09-11,10:19:23,2023-09-11,10:21:52,0 days 00:02:29,"Domain: School, Type: Coding",Coding,School
74,F2023,Algorithms,Maze Project - Code,2023-09-11,10:51:20,2023-09-11,10:54:00,0 days 00:02:40,"Domain: School, Type: Coding",Coding,School
75,F2023,SWE,C07P,2023-09-11,10:54:24,2023-09-11,11:09:58,0 days 00:15:34,"Domain: School, Type: Reading",Reading,School
76,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-11,18:19:20,2023-09-11,19:28:03,0 days 01:08:43,"Domain: School, Type: Writing",Writing,School
77,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-11,19:34:03,2023-09-11,19:39:01,0 days 00:04:58,"Domain: School, Type: Writing",Writing,School
78,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-11,19:50:00,2023-09-11,20:16:18,0 days 00:26:18,"Domain: School, Type: Writing",Writing,School
79,F2023,Algorithms,Maze Project - Testing,2023-09-11,20:17:00,2023-09-11,20:29:29,0 days 00:12:29,"Domain: School, Type: Coding",Coding,School
80,F2023,Algorithms,Maze Project - Testing,2023-09-11,22:02:00,2023-09-11,22:21:38,0 days 00:19:38,"Domain: School, Type: Coding",Coding,School
81,F2023,SWE,C07P,2023-09-11,22:21:53,2023-09-11,22:37:37,0 days 00:15:44,"Domain: School, Type: Reading",Reading,School
82,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-12,16:49:17,2023-09-12,17:26:23,0 days 00:37:06,"Domain: School, Type: Writing",Writing,School
83,F2023,Algorithms,Maze Project - Testing,2023-09-12,17:53:59,2023-09-12,18:03:52,0 days 00:09:53,"Domain: School, Type: Coding",Coding,School
84,F2023,Algorithms,Maze Project - Testing,2023-09-12,18:11:42,2023-09-12,18:24:15,0 days 00:12:33,"Domain: School, Type: Coding",Coding,School
85,F2023,GenAI & Art,Week 4 Assignment,2023-09-12,19:11:51,2023-09-12,20:01:35,0 days 00:49:44,"Domain: School, Type: Writing",Writing,School
86,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-13,08:27:42,2023-09-13,08:47:16,0 days 00:19:34,"Domain: School, Type: Writing",Writing,School
87,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-13,11:30:00,2023-09-13,11:45:00,0 days 00:15:00,"Domain: School, Type: Writing",Writing,School
88,F2023,GenAI & Art,Daytripper Critical Essay,2023-09-13,14:10:24,2023-09-13,14:14:11,0 days 00:03:47,"Domain: School, Type: Writing",Writing,School
89,,Personal Admin Maintenance,Running Email,2023-09-13,14:22:04,2023-09-13,14:23:53,0 days 00:01:49,"Domain: School, Type: Implementing",Implementing,School
90,,Personal Admin Maintenance,Running Email,2023-09-13,14:27:28,2023-09-13,14:34:36,0 days 00:07:08,"Domain: School, Type: Implementing",Implementing,School
91,F2023,SWE,C08P,2023-09-13,14:59:35,2023-09-13,15:30:00,0 days 00:30:25,"Domain: School, Type: Reading",Reading,School
92,F2023,Algorithms,Maze Project - Report,2023-09-14,11:25:08,2023-09-14,11:37:46,0 days 00:12:38,"Domain: School, Type: Writing",Writing,School
93,F2023,Algorithms,Maze Project - Report,2023-09-14,11:40:00,2023-09-14,12:00:07,0 days 00:20:07,"Domain: School, Type: Writing",Writing,School
94,F2023,Algorithms,Maze Project - Code,2023-09-14,18:05:10,2023-09-14,18:19:08,0 days 00:13:58,"Domain: School, Type: Coding",Coding,School
95,F2023,Algorithms,Maze Project - Report,2023-09-14,18:19:12,2023-09-14,19:43:30,0 days 01:24:18,"Domain: School, Type: Writing",Writing,School
96,F2023,SWE,C07A-2,2023-09-14,19:47:29,2023-09-14,20:30:27,0 days 00:42:58,"Domain: School, Type: Implementing",Implementing,School
97,F2023,Algorithms,Maze Project - Report,2023-09-15,11:25:16,2023-09-15,11:50:44,0 days 00:25:28,"Domain: School, Type: Writing",Writing,School
98,F2023,SWE,C07A-2,2023-09-15,13:42:33,2023-09-15,14:11:10,0 days 00:28:37,"Domain: School, Type: Implementing",Implementing,School
99,F2023,Algorithms,Maze Project - Report,2023-09-15,14:11:32,2023-09-15,14:42:44,0 days 00:31:12,"Domain: School, Type: Writing",Writing,School
100,F2023,Algorithms,Maze Project - Report,2023-09-15,14:44:49,2023-09-15,14:55:13,0 days 00:10:24,"Domain: School, Type: Writing",Writing,School
101,F2023,SWE,C07C,2023-09-15,15:17:22,2023-09-15,16:33:45,0 days 01:16:23,"Domain: School, Type: Coding",Coding,School
102,F2023,Algorithms,Maze Project - Report,2023-09-15,20:22:06,2023-09-15,20:31:12,0 days 00:09:06,"Domain: School, Type: Writing",Writing,School
103,F2023,OS,P2-D1,2023-09-18,09:20:37,2023-09-18,09:36:16,0 days 00:15:39,"Domain: School, Type: Coding",Coding,School
104,F2023,SWE,C09P,2023-09-18,10:32:02,2023-09-18,10:59:25,0 days 00:27:23,"Domain: School, Type: Reading",Reading,School
105,F2023,Algorithms,AlgoBowl Pre-Read,2023-09-18,11:15:00,2023-09-18,11:22:20,0 days 00:07:20,"Domain: School, Type: Reading",Reading,School
106,F2023,Algorithms,MST Pre-Read,2023-09-18,11:23:00,2023-09-18,11:30:44,0 days 00:07:44,"Domain: School, Type: Reading",Reading,School
107,F2023,GenAI & Art,Week 5 Assignment (Brain-storming 2),2023-09-18,11:33:43,2023-09-18,11:47:28,0 days 00:13:45,"Domain: School, Type: Writing",Writing,School
108,F2023,GenAI & Art,Maus,2023-09-18,13:30:00,2023-09-18,14:15:00,0 days 00:45:00,"Domain: School, Type: Reading",Reading,School
109,F2023,SWE,C09P,2023-09-18,15:44:31,2023-09-18,15:47:09,0 days 00:02:38,"Domain: School, Type: Reading",Reading,School
110,F2023,SWE,P2 Jesus Lecture,2023-09-18,15:51:31,2023-09-18,16:29:15,0 days 00:37:44,"Domain: School, Type: Reading",Reading,School
111,F2023,SWE,P2 Jesus Lecture,2023-09-18,16:34:23,2023-09-18,16:43:44,0 days 00:09:21,"Domain: School, Type: Reading",Reading,School
112,F2023,OS,P2-D1,2023-09-18,16:43:47,2023-09-18,17:01:27,0 days 00:17:40,"Domain: School, Type: Coding",Coding,School
113,F2023,OS,P2-D1,2023-09-18,19:23:17,2023-09-18,20:44:21,0 days 01:21:04,"Domain: School, Type: Coding",Coding,School
114,F2023,GenAI & Art,Week 5 Assignment (Brain-storming 2),2023-09-18,20:44:45,2023-09-18,21:04:38,0 days 00:19:53,"Domain: School, Type: Writing",Writing,School
115,F2023,GenAI & Art,Week 5 Assignment (Brain-storming 2),2023-09-19,09:06:59,2023-09-19,09:48:52,0 days 00:41:53,"Domain: School, Type: Writing",Writing,School
116,F2023,Algorithms,HW3,2023-09-19,09:51:27,2023-09-19,10:30:26,0 days 00:38:59,"Domain: School, Type: Practice",Practice,School
117,F2023,OS,P2-D1,2023-09-19,11:34:00,2023-09-19,11:54:41,0 days 00:20:41,"Domain: School, Type: Coding",Coding,School
118,F2023,GenAI & Art,Maus,2023-09-19,19:47:10,2023-09-19,21:02:21,0 days 01:15:11,"Domain: School, Type: Reading",Reading,School
119,F2023,SWE,C10P,2023-09-20,08:53:57,2023-09-20,09:11:58,0 days 00:18:01,"Domain: School, Type: Reading",Reading,School
120,F2023,SWE,C10P,2023-09-20,13:07:49,2023-09-20,13:19:33,0 days 00:11:44,"Domain: School, Type: Reading",Reading,School
121,F2023,GenAI & Art,Week 5 Assignment (Brain-storming 2),2023-09-20,13:39:52,2023-09-20,13:51:47,0 days 00:11:55,"Domain: School, Type: Writing",Writing,School
122,F2023,OS,HW2,2023-09-21,10:43:45,2023-09-21,11:02:47,0 days 00:19:02,"Domain: School, Type: Practice",Practice,School
123,F2023,Algorithms,HW3,2023-09-21,11:02:52,2023-09-21,11:03:30,0 days 00:00:38,"Domain: School, Type: Practice",Practice,School
124,F2023,SWE,C09A-1,2023-09-21,11:03:43,2023-09-21,11:36:54,0 days 00:33:11,"Domain: School, Type: Coding",Coding,School
125,F2023,Algorithms,HW3,2023-09-22,21:12:11,2023-09-22,21:43:05,0 days 00:30:54,"Domain: School, Type: Practice",Practice,School
126,F2023,GenAI & Art,Maus,2023-09-23,11:04:48,2023-09-23,11:59:53,0 days 00:55:05,"Domain: School, Type: Reading",Reading,School
127,F2023,Algorithms,Shortest Path Pre-Read,2023-09-25,11:30:00,2023-09-25,11:38:00,0 days 00:08:00,"Domain: School, Type: Reading",Reading,School
128,F2023,SWE,C11P,2023-09-25,15:43:06,2023-09-25,16:02:34,0 days 00:19:28,"Domain: School, Type: Reading",Reading,School
129,F2023,GenAI & Art,Maus,2023-09-25,19:52:00,2023-09-25,20:27:26,0 days 00:35:26,"Domain: School, Type: Reading",Reading,School
130,F2023,GenAI & Art,Maus,2023-09-26,09:27:11,2023-09-26,09:46:28,0 days 00:19:17,"Domain: School, Type: Reading",Reading,School
131,F2023,SWE,C12P,2023-09-26,10:08:49,2023-09-26,10:37:53,0 days 00:29:04,"Domain: School, Type: Reading",Reading,School
132,F2023,GenAI & Art,Maus Critical Essay 2,2023-09-26,10:38:27,2023-09-26,10:46:02,0 days 00:07:35,"Domain: School, Type: Writing",Writing,School
133,F2023,SWE,C11A-2,2023-09-26,11:04:36,2023-09-26,11:43:15,0 days 00:38:39,"Domain: School, Type: Coding",Coding,School
134,F2023,GenAI & Art,"Week 5 Assignment (GAI tools, loglines)",2023-09-26,19:09:37,2023-09-26,19:49:40,0 days 00:40:03,"Domain: School, Type: Writing",Writing,School
135,F2023,GenAI & Art,"Week 5 Assignment (GAI tools, loglines)",2023-09-26,19:55:00,2023-09-26,20:09:02,0 days 00:14:02,"Domain: School, Type: Writing",Writing,School
136,F2023,GenAI & Art,"Week 5 Assignment (GAI tools, loglines)",2023-09-26,20:14:32,2023-09-26,20:19:13,0 days 00:04:41,"Domain: School, Type: Writing",Writing,School
137,F2023,Algorithms,Algobowl,2023-09-27,15:54:37,2023-09-27,16:57:15,0 days 01:02:38,"Domain: School, Type: Coding",Coding,School
138,F2023,Algorithms,Algobowl,2023-09-27,17:45:54,2023-09-27,17:54:59,0 days 00:09:05,"Domain: School, Type: Coding",Coding,School
139,F2023,Algorithms,Algobowl,2023-09-27,21:12:27,2023-09-27,21:46:17,0 days 00:33:50,"Domain: School, Type: Coding",Coding,School
140,F2023,Algorithms,Algobowl,2023-09-29,07:55:35,2023-09-29,08:19:55,0 days 00:24:20,"Domain: School, Type: Coding",Coding,School
141,F2023,SWE,C12A-1,2023-09-29,08:31:32,2023-09-29,08:42:17,0 days 00:10:45,"Domain: School, Type: Coding",Coding,School
142,F2023,SWE,C12A-1,2023-09-29,18:13:48,2023-09-29,18:17:20,0 days 00:03:32,"Domain: School, Type: Coding",Coding,School
143,F2023,SWE,C12A-1,2023-09-29,18:17:35,2023-09-29,18:24:10,0 days 00:06:35,"Domain: School, Type: Coding",Coding,School
144,F2023,Algorithms,Algobowl,2023-09-29,18:50:35,2023-09-29,19:15:14,0 days 00:24:39,"Domain: School, Type: Coding",Coding,School
145,F2023,SWE,C12A-1,2023-09-30,11:04:28,2023-09-30,11:09:06,0 days 00:04:38,"Domain: School, Type: Coding",Coding,School
146,F2023,SWE,C12A-2,2023-09-30,11:53:01,2023-09-30,12:14:07,0 days 00:21:06,"Domain: School, Type: Coding",Coding,School
147,F2023,GenAI & Art,Maus Critical Essay 2,2023-10-01,19:21:45,2023-10-01,20:25:03,0 days 01:03:18,"Domain: School, Type: Writing",Writing,School
148,F2023,SWE,C12A-2,2023-10-01,20:29:39,2023-10-01,20:46:21,0 days 00:16:42,"Domain: School, Type: Coding",Coding,School
149,F2023,OS,P2-D2,2023-10-02,08:51:45,2023-10-02,09:24:17,0 days 00:32:32,"Domain: School, Type: Coding",Coding,School
150,F2023,OS,P2-D2,2023-10-02,10:16:16,2023-10-02,11:02:02,0 days 00:45:46,"Domain: School, Type: Coding",Coding,School
151,F2023,OS,P2-D2,2023-10-02,11:29:02,2023-10-02,11:48:09,0 days 00:19:07,"Domain: School, Type: Coding",Coding,School
152,F2023,OS,P2-D2,2023-10-02,13:43:09,2023-10-02,15:45:49,0 days 02:02:40,"Domain: School, Type: Coding",Coding,School
153,F2023,OS,P2-D2,2023-10-02,16:09:09,2023-10-02,18:22:37,0 days 02:13:28,"Domain: School, Type: Coding",Coding,School
154,F2023,SWE,C13P,2023-10-02,20:41:06,2023-10-02,21:00:49,0 days 00:19:43,"Domain: School, Type: Reading",Reading,School
155,F2023,GenAI & Art,Maus Critical Essay 2,2023-10-03,09:06:45,2023-10-03,09:56:41,0 days 00:49:56,"Domain: School, Type: Writing",Writing,School
156,F2023,GenAI & Art,Maus Critical Essay 2,2023-10-03,10:00:04,2023-10-03,10:01:39,0 days 00:01:35,"Domain: School, Type: Writing",Writing,School
157,F2023,GenAI & Art,Maus Critical Essay 2,2023-10-03,10:02:25,2023-10-03,11:24:23,0 days 01:21:58,"Domain: School, Type: Writing",Writing,School
158,F2023,OS,P2-D2,2023-10-03,14:00:00,2023-10-03,14:30:00,0 days 00:30:00,"Domain: School, Type: Coding",Coding,School
159,F2023,OS,P2-D2,2023-10-03,16:29:16,2023-10-03,17:10:13,0 days 00:40:57,"Domain: School, Type: Coding",Coding,School
160,F2023,OS,P2-D2,2023-10-03,17:11:09,2023-10-03,17:37:25,0 days 00:26:16,"Domain: School, Type: Coding",Coding,School
161,F2023,OS,P2-D2,2023-10-03,17:51:37,2023-10-03,17:51:37,0 days 00:00:00,"Domain: School, Type: Coding",Coding,School
162,F2023,OS,P2-D2,2023-10-03,17:51:38,2023-10-03,17:51:42,0 days 00:00:04,"Domain: School, Type: Coding",Coding,School
163,F2023,OS,P2-D2,2023-10-03,17:51:42,2023-10-03,18:03:13,0 days 00:11:31,"Domain: School, Type: Coding",Coding,School
164,F2023,OS,P2-D2,2023-10-03,18:33:31,2023-10-03,19:10:10,0 days 00:36:39,"Domain: School, Type: Coding",Coding,School
165,F2023,GenAI & Art,Maus Critical Essay 2,2023-10-03,19:26:49,2023-10-03,20:55:10,0 days 01:28:21,"Domain: School, Type: Writing",Writing,School
166,F2023,GenAI & Art,Week 6 Assignment (CCA),2023-10-04,11:27:47,2023-10-04,11:52:05,0 days 00:24:18,"Domain: School, Type: Reading",Reading,School
167,F2023,GenAI & Art,Maus Critical Essay 2,2023-10-04,13:46:39,2023-10-04,14:39:10,0 days 00:52:31,"Domain: School, Type: Writing",Writing,School
168,F2023,SWE,C14P,2023-10-05,10:44:07,2023-10-05,10:53:43,0 days 00:09:36,"Domain: School, Type: Reading",Reading,School
169,F2023,OS,HW3,2023-10-05,12:40:14,2023-10-05,12:46:39,0 days 00:06:25,"Domain: School, Type: Practice",Practice,School
170,F2023,Algorithms,HW5,2023-10-05,12:54:58,2023-10-05,13:41:27,0 days 00:46:29,"Domain: School, Type: Practice",Practice,School
171,F2023,SWE,C13A-2,2023-10-05,13:55:52,2023-10-05,14:09:38,0 days 00:13:46,"Domain: School, Type: Coding",Coding,School
172,F2023,SWE,C13A-2,2023-10-05,14:19:36,2023-10-05,14:25:11,0 days 00:05:35,"Domain: School, Type: Coding",Coding,School
173,F2023,SWE,C13A-2,2023-10-05,16:15:18,2023-10-05,16:27:50,0 days 00:12:32,"Domain: School, Type: Coding",Coding,School
174,F2023,SWE,C13A-2,2023-10-05,21:12:12,2023-10-05,21:38:06,0 days 00:25:54,"Domain: School, Type: Coding",Coding,School
175,F2023,SWE,C13A-2,2023-10-05,21:42:56,2023-10-05,21:47:11,0 days 00:04:15,"Domain: School, Type: Coding",Coding,School
176,F2023,SWE,C13A-2,2023-10-06,10:37:53,2023-10-06,11:07:36,0 days 00:29:43,"Domain: School, Type: Coding",Coding,School
177,F2023,Algorithms,HW5,2023-10-07,19:48:27,2023-10-07,21:00:58,0 days 01:12:31,"Domain: School, Type: Practice",Practice,School
178,F2023,Algorithms,Algobowl,2023-10-08,18:42:29,2023-10-08,20:37:49,0 days 01:55:20,"Domain: School, Type: Coding",Coding,School
179,F2023,Algorithms,Algobowl,2023-10-08,20:45:45,2023-10-08,21:01:55,0 days 00:16:10,"Domain: School, Type: Coding",Coding,School
180,F2023,SWE,C14A-1,2023-10-08,22:35:32,2023-10-09,00:13:10,0 days 01:37:38,"Domain: School, Type: Coding",Coding,School
181,F2023,OS,HW3,2023-10-09,10:37:31,2023-10-09,10:57:58,0 days 00:20:27,"Domain: School, Type: Practice",Practice,School
182,F2023,SWE,C14A-1,2023-10-09,11:00:55,2023-10-09,11:30:15,0 days 00:29:20,"Domain: School, Type: Coding",Coding,School
183,F2023,SWE,C14A-1,2023-10-09,13:18:27,2023-10-09,13:20:26,0 days 00:01:59,"Domain: School, Type: Coding",Coding,School
184,F2023,Algorithms,Algobowl,2023-10-09,13:20:51,2023-10-09,13:56:59,0 days 00:36:08,"Domain: School, Type: Coding",Coding,School
185,F2023,Algorithms,Algobowl,2023-10-09,13:50:00,2023-10-09,14:06:50,0 days 00:16:50,"Domain: School, Type: Coding",Coding,School
186,F2023,SWE,C14A-1,2023-10-09,14:08:03,2023-10-09,14:17:16,0 days 00:09:13,"Domain: School, Type: Coding",Coding,School
187,F2023,SWE,C14A-2,2023-10-09,14:47:15,2023-10-09,16:17:50,0 days 01:30:35,"Domain: School, Type: Coding",Coding,School
188,F2023,Algorithms,Algobowl,2023-10-09,17:47:57,2023-10-09,17:55:00,0 days 00:07:03,"Domain: School, Type: Coding",Coding,School
