Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount ()
S2024,Social Media and Misinformation,,Sockpuppet Design,No,2024-02-01,14:36:07,2024-02-01,14:47:15,00:11:08,"Domain: School, Type: Implementing",
S2024,Cryptography,,Quiz 03,No,2024-02-01,14:56:41,2024-02-01,15:09:35,00:12:54,"Domain: School, Type: Assessment",
S2024,Cryptography,,Quiz 03,No,2024-02-01,15:30:28,2024-02-01,15:57:16,00:26:48,"Domain: School, Type: Assessment",
S2024,Social Media and Misinformation,,Reading: Section 230,No,2024-02-02,11:49:30,2024-02-02,12:35:46,00:46:16,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Section 230,No,2024-02-02,12:39:18,2024-02-02,12:56:35,00:17:17,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Section 230,No,2024-02-02,15:12:20,2024-02-02,15:30:23,00:18:03,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Section 230,No,2024-02-02,15:33:15,2024-02-02,15:48:53,00:15:38,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Sockpuppet Design,No,2024-02-05,18:35:00,2024-02-05,18:41:10,00:06:10,"Domain: School, Type: Implementing",
S2024,Social Media and Misinformation,,Feb. 7 Discussion Prep,No,2024-02-05,18:43:07,2024-02-05,19:03:04,00:19:57,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Feb. 7 Discussion Prep,No,2024-02-05,19:05:53,2024-02-05,19:07:58,00:02:05,"Domain: School, Type: Writing",
S2024,Cryptography,,HW02,No,2024-02-05,19:08:59,2024-02-05,20:54:20,01:45:21,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Feb. 7 Discussion Prep,No,2024-02-06,11:00:00,2024-02-06,11:45:00,00:45:00,"Domain: School, Type: Writing",
S2024,Network Sciences,,HW01,No,2024-02-06,14:01:28,2024-02-06,15:10:59,01:09:31,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW01,No,2024-02-06,15:13:08,2024-02-06,15:26:26,00:13:18,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Feb. 7 Discussion Prep,No,2024-02-06,16:15:03,2024-02-06,17:23:49,01:08:46,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Feb. 7 Discussion Prep,No,2024-02-06,20:16:02,2024-02-06,20:57:26,00:41:24,"Domain: School, Type: Writing",
S2024,Cryptography,,HW02,No,2024-02-06,21:53:40,2024-02-06,22:07:32,00:13:52,"Domain: School, Type: Practice",
S2024,Cryptography,,HW02,No,2024-02-07,09:26:04,2024-02-07,09:45:47,00:19:43,"Domain: School, Type: Practice",
S2024,Beyond CPUs,,Vector Machines Reading,No,2024-02-07,09:54:30,2024-02-07,10:40:19,00:45:49,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Sockpuppet Design,No,2024-02-07,11:19:33,2024-02-07,12:03:00,00:43:27,"Domain: School, Type: Implementing",
S2024,Network Sciences,,Course Enroll - Data Cleaning,No,2024-02-07,13:24:36,2024-02-07,13:47:18,00:22:42,"Domain: School, Type: Coding",
S2024,Social Media and Misinformation,,Feb. 7 Discussion Prep,No,2024-02-07,14:59:04,2024-02-07,15:27:54,00:28:50,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Feb. 7 Discussion Prep,No,2024-02-07,16:14:52,2024-02-07,16:23:54,00:09:02,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Sockpuppet Design,No,2024-02-07,16:30:37,2024-02-07,16:57:05,00:26:28,"Domain: School, Type: Implementing",
S2024,Social Media and Misinformation,,Sockpuppet Design,No,2024-02-08,13:53:49,2024-02-08,14:57:56,01:04:07,"Domain: School, Type: Implementing",
S2024,Social Media and Misinformation,,Sockpuppet Design,No,2024-02-08,14:59:47,2024-02-08,15:25:38,00:25:51,"Domain: School, Type: Implementing",
S2024,Social Media and Misinformation,,Sockpuppet Design,No,2024-02-08,17:15:24,2024-02-08,18:13:12,00:57:48,"Domain: School, Type: Implementing",
S2024,Social Media and Misinformation,,London Sockpuppet,No,2024-02-08,18:13:24,2024-02-08,18:46:41,00:33:17,"Domain: School, Type: Research",
S2024,Cryptography,,HW02,No,2024-02-09,10:46:34,2024-02-09,10:48:07,00:01:33,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW01,No,2024-02-09,10:54:03,2024-02-09,12:06:23,01:12:20,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW01,No,2024-02-09,12:42:29,2024-02-09,13:42:44,01:00:15,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW01,No,2024-02-09,16:40:40,2024-02-09,17:07:24,00:26:44,"Domain: School, Type: Practice",
,Practicum - My Practicum,,Practicum Proposal,No,2024-02-12,11:05:56,2024-02-12,11:18:01,00:12:05,"Domain: School, Type: Research, Type: Writing",
,Practicum - My Practicum,,Practicum Proposal,No,2024-02-12,12:00:00,2024-02-12,12:32:00,00:32:00,"Domain: School, Type: Research, Type: Writing",
S2024,Social Media and Misinformation,,Reading: Trolling,No,2024-02-12,13:22:05,2024-02-12,13:50:42,00:28:37,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reflection 2,No,2024-02-12,19:37:11,2024-02-12,21:02:30,01:25:19,"Domain: School, Type: Writing",
S2024,Network Sciences,,Course Enroll - Data Cleaning,No,2024-02-13,14:45:00,2024-02-13,15:55:18,01:10:18,"Domain: School, Type: Coding",
S2024,Social Media and Misinformation,,Reflection 2,No,2024-02-13,15:55:32,2024-02-13,17:16:51,01:21:19,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reading: Trolling,No,2024-02-13,19:18:03,2024-02-13,19:27:01,00:08:58,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Trolling,No,2024-02-13,19:33:57,2024-02-13,19:36:40,00:02:43,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Trolling,No,2024-02-13,19:37:13,2024-02-13,21:06:46,01:29:33,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reflection 2,No,2024-02-14,09:23:27,2024-02-14,10:08:14,00:44:47,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,HW02,No,2024-02-14,10:32:53,2024-02-14,11:26:05,00:53:12,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,London Sockpuppet,No,2024-02-14,13:08:00,2024-02-14,13:31:00,00:23:00,"Domain: School, Type: Research",
S2024,Social Media and Misinformation,,London Sockpuppet,No,2024-02-14,13:31:20,2024-02-14,13:31:20,00:00:00,"Domain: School, Type: Research",
S2024,Network Sciences,,Course Enroll - Data Cleaning,No,2024-02-14,15:00:00,2024-02-14,15:53:57,00:53:57,"Domain: School, Type: Coding",
S2024,Beyond CPUs,,HW02,No,2024-02-14,16:11:00,2024-02-14,16:14:43,00:03:43,"Domain: School, Type: Practice",
S2024,Cryptography,,Quiz 04,No,2024-02-15,16:35:41,2024-02-15,17:12:40,00:36:59,"Domain: School, Type: Assessment",
S2024,Social Media and Misinformation,,Reading: Gamergate,No,2024-02-20,18:20:06,2024-02-20,20:28:23,02:08:17,"Domain: School, Type: Reading",
S2024,Beyond CPUs,,HW03,No,2024-02-21,09:18:19,2024-02-21,11:03:41,01:45:22,"Domain: School, Type: Practice",
S2024,Network Sciences,,Course Enroll - Eligible algo,No,2024-02-21,11:30:06,2024-02-21,11:47:49,00:17:43,"Domain: School, Type: Coding",
,Practicum - My Practicum,,Practicum Emails,No,2024-02-21,12:44:38,2024-02-21,13:03:34,00:18:56,"Domain: School, Type: Writing",
S2024,Network Sciences,,Course Enroll - Eligible algo,No,2024-02-21,14:54:00,2024-02-21,14:55:45,00:01:45,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - Eligible algo,No,2024-02-21,14:56:12,2024-02-21,15:47:28,00:51:16,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - Eligible algo,No,2024-02-21,15:47:51,2024-02-21,16:29:57,00:42:06,"Domain: School, Type: Coding",
S2024,Cryptography,,Quiz 05,No,2024-02-22,14:32:19,2024-02-22,14:41:42,00:09:23,"Domain: School, Type: Assessment",
S2024,Network Sciences,,Course Enroll - Eligible algo,No,2024-02-22,14:43:45,2024-02-22,16:03:06,01:19:21,"Domain: School, Type: Coding",
S2024,Cryptography,,HW03,No,2024-02-26,10:55:28,2024-02-26,12:29:10,01:33:42,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW02,No,2024-02-26,16:20:50,2024-02-26,16:47:58,00:27:08,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW02,No,2024-02-26,16:55:00,2024-02-26,17:10:28,00:15:28,"Domain: School, Type: Practice",
S2024,Cryptography,,HW03,No,2024-02-26,19:13:18,2024-02-26,20:03:21,00:50:03,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW02,No,2024-02-26,20:08:05,2024-02-26,20:57:49,00:49:44,"Domain: School, Type: Practice",
S2024,Cryptography,,HW03,No,2024-02-26,21:36:27,2024-02-26,22:36:15,00:59:48,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW02,No,2024-02-27,14:00:42,2024-02-27,15:03:42,01:03:00,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW02,No,2024-02-27,15:06:50,2024-02-27,15:08:45,00:01:55,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Reading: Harassment,No,2024-02-27,15:23:24,2024-02-27,15:33:04,00:09:40,"Domain: School, Type: Reading",
S2024,Cryptography,,HW03,No,2024-02-27,15:33:12,2024-02-27,15:42:47,00:09:35,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Reading: Harassment,No,2024-02-27,15:45:24,2024-02-27,16:49:13,01:03:49,"Domain: School, Type: Reading",
S2024,Network Sciences,,Paper 1: Cryptographic Misuse in Android Apps,No,2024-02-28,10:14:44,2024-02-28,10:49:56,00:35:12,"Domain: School, Type: Research",
S2024,Network Sciences,,PA01: Small Worlds,No,2024-02-28,11:01:24,2024-02-28,12:27:53,01:26:29,"Domain: School, Type: Coding",
S2024,Network Sciences,,PA01: Small Worlds,No,2024-02-28,16:09:05,2024-02-28,16:11:15,00:02:10,"Domain: School, Type: Coding",
S2024,Network Sciences,,PA01: Small Worlds,No,2024-02-28,16:15:36,2024-02-28,17:10:00,00:54:24,"Domain: School, Type: Coding",
S2024,Cryptography,,Quiz 06-07,No,2024-02-29,14:19:00,2024-02-29,14:38:30,00:19:30,"Domain: School, Type: Assessment",
S2024,Network Sciences,,HW02,No,2024-02-29,14:40:04,2024-02-29,15:11:50,00:31:46,"Domain: School, Type: Practice",
S2024,Network Sciences,,Course Enroll - Eligible algo,No,2024-02-29,15:12:00,2024-02-29,15:18:12,00:06:12,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - DAGs,No,2024-02-29,15:18:37,2024-02-29,15:49:01,00:30:24,"Domain: School, Type: Coding",
S2024,Cryptography,,Quiz 06-07,No,2024-02-29,15:49:18,2024-02-29,16:14:11,00:24:53,"Domain: School, Type: Assessment",
S2024,Social Media and Misinformation,,London Sockpuppet,No,2024-03-03,19:02:42,2024-03-03,20:18:57,01:16:15,"Domain: School, Type: Research",
S2024,Network Sciences,,PA01: Small Worlds,No,2024-03-03,20:26:44,2024-03-03,20:41:57,00:15:13,"Domain: School, Type: Coding",
S2024,Cryptography,,Midterm Study,No,2024-03-04,10:48:48,2024-03-04,11:42:07,00:53:19,"Domain: School, Type: Practice",
S2024,Cryptography,,Midterm Study,No,2024-03-05,13:09:15,2024-03-05,14:05:50,00:56:35,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Reading: Post-truth,No,2024-03-05,14:18:03,2024-03-05,14:49:22,00:31:19,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Post-truth,No,2024-03-05,14:50:23,2024-03-05,15:01:15,00:10:52,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Post-truth,No,2024-03-05,15:20:56,2024-03-05,15:35:53,00:14:57,"Domain: School, Type: Reading",
S2024,Network Sciences,,PA01: Small Worlds,No,2024-03-05,16:55:44,2024-03-05,17:08:31,00:12:47,"Domain: School, Type: Coding",
S2024,Cryptography,,Midterm Study,No,2024-03-06,09:08:38,2024-03-06,09:40:39,00:32:01,"Domain: School, Type: Practice",
S2024,Network Sciences,,Course Enroll - Data Cleaning,No,2024-03-06,09:42:25,2024-03-06,10:21:44,00:39:19,"Domain: School, Type: Coding",
S2024,Cryptography,,Paper 2: Detection of Weak Keys in Network Devices,No,2024-03-06,10:50:18,2024-03-06,11:42:08,00:51:50,"Domain: School, Type: Research",
S2024,Network Sciences,,Course Enroll - DAGs,No,2024-03-06,16:27:20,2024-03-06,16:53:01,00:25:41,"Domain: School, Type: Coding",
S2024,Cryptography,,Midterm Study,No,2024-03-06,21:06:17,2024-03-06,21:17:06,00:10:49,"Domain: School, Type: Practice",
S2024,Cryptography,,Midterm Study,No,2024-03-06,22:00:00,2024-03-06,22:21:17,00:21:17,"Domain: School, Type: Practice",
S2024,Cryptography,,Midterm Study,No,2024-03-07,08:30:41,2024-03-07,09:11:43,00:41:02,"Domain: School, Type: Practice",
S2024,Network Sciences,,Course Enroll - DAGs,No,2024-03-07,14:37:45,2024-03-07,16:06:43,01:28:58,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - PDF Scrape,No,2024-03-08,12:48:39,2024-03-08,13:00:00,00:11:21,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - Meeting,No,2024-03-08,13:01:00,2024-03-08,13:50:00,00:49:00,,
S2024,Cryptography,,Course Project: Proposal,No,2024-03-12,13:34:16,2024-03-12,13:49:30,00:15:14,"Domain: School, Type: Research",
S2024,Beyond CPUs,,HW04,No,2024-03-12,13:50:54,2024-03-12,14:46:44,00:55:50,"Domain: School, Type: Coding",
S2024,Social Media and Misinformation,,Reading: Disinformation,No,2024-03-12,16:57:25,2024-03-12,18:14:31,01:17:06,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reflection 3,No,2024-03-12,19:12:00,2024-03-12,21:00:29,01:48:29,"Domain: School, Type: Writing",
S2024,Network Sciences,,Midterm Study,No,2024-03-13,09:16:28,2024-03-13,09:40:26,00:23:58,"Domain: School, Type: Practice",
S2024,Network Sciences,,Midterm Study,No,2024-03-13,09:42:13,2024-03-13,09:44:18,00:02:05,"Domain: School, Type: Practice",
S2024,Network Sciences,,Midterm Study,No,2024-03-13,10:05:16,2024-03-13,10:06:28,00:01:12,"Domain: School, Type: Practice",
S2024,Network Sciences,,Midterm Study,No,2024-03-13,10:15:18,2024-03-13,11:00:43,00:45:25,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Reflection 3,No,2024-03-13,11:04:02,2024-03-13,11:13:24,00:09:22,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-13,11:20:28,2024-03-13,12:06:35,00:46:07,"Domain: School, Type: Research",
S2024,Network Sciences,,Midterm Study,No,2024-03-13,13:04:33,2024-03-13,13:12:57,00:08:24,"Domain: School, Type: Practice",
S2024,Network Sciences,,Course Enroll - PDF Scrape,No,2024-03-13,15:18:13,2024-03-13,17:03:48,01:45:35,"Domain: School, Type: Coding",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-13,19:13:39,2024-03-13,20:11:12,00:57:33,"Domain: School, Type: Research",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-14,09:40:35,2024-03-14,10:00:42,00:20:07,"Domain: School, Type: Research",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-14,10:05:07,2024-03-14,10:56:58,00:51:51,"Domain: School, Type: Research",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-14,10:58:40,2024-03-14,11:06:53,00:08:13,"Domain: School, Type: Research",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-14,13:48:31,2024-03-14,13:57:26,00:08:55,"Domain: School, Type: Research",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-14,14:02:17,2024-03-14,14:58:11,00:55:54,"Domain: School, Type: Research",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-14,15:14:06,2024-03-14,15:24:02,00:09:56,"Domain: School, Type: Research",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-14,17:45:53,2024-03-14,19:09:44,01:23:51,"Domain: School, Type: Research",
S2024,Cryptography,,Course Project: Proposal,No,2024-03-14,20:52:18,2024-03-14,21:04:00,00:11:42,"Domain: School, Type: Research",
S2024,Beyond CPUs,,Project Reading,No,2024-03-24,20:43:58,2024-03-24,21:23:11,00:39:13,"Domain: School, Type: Reading",
S2024,Beyond CPUs,,Project Reading,No,2024-03-25,08:20:31,2024-03-25,09:10:52,00:50:21,"Domain: School, Type: Reading",
S2024,Network Sciences,,Course Enroll - PDF Scrape,No,2024-03-25,09:20:40,2024-03-25,10:15:31,00:54:51,"Domain: School, Type: Coding",
S2024,Beyond CPUs,,Project Meeting,No,2024-03-25,10:55:00,2024-03-25,11:40:00,00:45:00,"Domain: School, Type: Meeting",
S2024,Network Sciences,,Course Enroll - PDF Scrape,No,2024-03-25,11:47:48,2024-03-25,12:39:10,00:51:22,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - PDF Scrape,No,2024-03-25,13:17:31,2024-03-25,13:47:08,00:29:37,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - PDF Scrape,No,2024-03-25,15:32:46,2024-03-25,16:06:19,00:33:33,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - PDF Scrape,No,2024-03-25,16:14:51,2024-03-25,16:36:17,00:21:26,"Domain: School, Type: Coding",
S2024,Network Sciences,,Enrollment Graphs,No,2024-03-25,17:00:24,2024-03-25,17:23:12,00:22:48,"Domain: School, Type: Coding",
S2024,Network Sciences,,Enrollment Graphs,No,2024-03-25,18:18:01,2024-03-25,19:13:36,00:55:35,"Domain: School, Type: Coding",
S2024,Network Sciences,,Enrollment Graphs,No,2024-03-25,19:14:20,2024-03-25,19:58:45,00:44:25,"Domain: School, Type: Coding",
S2024,Social Media and Misinformation,,Reading: Do Your Own Research,No,2024-03-25,20:09:41,2024-03-25,20:59:14,00:49:33,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Do Your Own Research,No,2024-03-25,21:00:09,2024-03-25,21:15:44,00:15:35,"Domain: School, Type: Reading",
S2024,Beyond CPUs,,Paper Presentation,No,2024-03-26,13:55:24,2024-03-26,15:24:52,01:29:28,"Domain: School, Type: Research",
S2024,Cryptography,,Quiz 08,No,2024-03-26,15:46:07,2024-03-26,16:06:47,00:20:40,"Domain: School, Type: Assessment",
S2024,Cryptography,,Lab 1,No,2024-03-26,16:21:54,2024-03-26,17:14:19,00:52:25,"Domain: School, Type: Coding",
S2024,Cryptography,,Lab 1,No,2024-03-26,18:09:01,2024-03-26,19:47:02,01:38:01,"Domain: School, Type: Coding",
S2024,Cryptography,,Lab 1,No,2024-03-26,19:51:49,2024-03-26,20:01:10,00:09:21,"Domain: School, Type: Coding",
S2024,Network Sciences,,Enrollment Graphs,No,2024-03-26,20:54:39,2024-03-26,20:59:43,00:05:04,"Domain: School, Type: Coding",
S2024,Network Sciences,,Enrollment Graphs,No,2024-03-26,20:58:00,2024-03-26,21:13:37,00:15:37,"Domain: School, Type: Coding",
S2024,Social Media and Misinformation,,Reading: Do Your Own Research,No,2024-03-27,09:45:29,2024-03-27,10:19:06,00:33:37,"Domain: School, Type: Reading",
S2024,Cryptography,,Lab 1,No,2024-03-27,10:20:13,2024-03-27,10:43:16,00:23:03,"Domain: School, Type: Coding",
S2024,Beyond CPUs,,03/26 Paper Summaries,No,2024-03-27,10:44:30,2024-03-27,11:10:58,00:26:28,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Paper Presentation,No,2024-03-27,12:32:02,2024-03-27,12:39:45,00:07:43,"Domain: School, Type: Research",
S2024,Cryptography,,Lab 1,No,2024-03-27,13:10:18,2024-03-27,13:14:39,00:04:21,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-27,15:07:39,2024-03-27,15:51:40,00:44:01,"Domain: School, Type: Coding",
S2024,Beyond CPUs,,Project Meeting,No,2024-03-27,16:00:00,2024-03-27,16:45:00,00:45:00,"Domain: School, Type: Meeting",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-27,17:15:15,2024-03-27,17:46:19,00:31:04,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-27,21:45:14,2024-03-27,23:16:50,01:31:36,"Domain: School, Type: Coding",
S2024,Cryptography,,Lab 1,No,2024-03-28,07:57:20,2024-03-28,08:08:24,00:11:04,"Domain: School, Type: Coding",
S2024,Beyond CPUs,,Paper Presentation,No,2024-03-28,08:08:43,2024-03-28,08:31:10,00:22:27,"Domain: School, Type: Research",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-28,12:46:56,2024-03-28,13:45:55,00:58:59,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-28,13:48:29,2024-03-28,13:51:07,00:02:38,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-28,14:12:04,2024-03-28,15:46:07,01:34:03,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-28,17:56:38,2024-03-28,18:46:26,00:49:48,"Domain: School, Type: Coding",
